pmid,title,journal,pubtypes,abstract,mesh_terms,pubmed_url
33243615,"Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Journal Article; Practice Guideline; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't; Review","This article is based on a consensus conference, promoted and supported by the International Federation of Clinical Neurophysiology (IFCN), which took place in Siena (Italy) in October 2018. The meeting intended to update the ten-year-old safety guidelines for the application of transcranial magnetic stimulation (TMS) in research and clinical settings (Rossi et al., 2009). Therefore, only emerging and new issues are covered in detail, leaving still valid the 2009 recommendations regarding the description of conventional or patterned TMS protocols, the screening of subjects/patients, the need of neurophysiological monitoring for new protocols, the utilization of reference thresholds of stimulation, the managing of seizures and the list of minor side effects. New issues discussed in detail from the meeting up to April 2020 are safety issues of recently developed stimulation devices and pulse configurations; duties and responsibility of device makers; novel scenarios of TMS applications such as in the neuroimaging context or imaging-guided and robot-guided TMS; TMS interleaved with transcranial electrical stimulation; safety during paired associative stimulation interventions; and risks of using TMS to induce therapeutic seizures (magnetic seizure therapy). An update on the possible induction of seizures, theoretically the most serious risk of TMS, is provided. It has become apparent that such a risk is low, even in patients taking drugs acting on the central nervous system, at least with the use of traditional stimulation parameters and focal coils for which large data sets are available. Finally, new operational guidelines are provided for safety in planning future trials based on traditional and patterned TMS protocols, as well as a summary of the minimal training requirements for operators, and a note on ethics of neuroenhancement.",Brain; Healthy Volunteers; Humans; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/33243615/
19833552,"Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Consensus Statement; Journal Article; Research Support, Non-U.S. Gov't; Review","This article is based on a consensus conference, which took place in Certosa di Pontignano, Siena (Italy) on March 7-9, 2008, intended to update the previous safety guidelines for the application of transcranial magnetic stimulation (TMS) in research and clinical settings. Over the past decade the scientific and medical community has had the opportunity to evaluate the safety record of research studies and clinical applications of TMS and repetitive TMS (rTMS). In these years the number of applications of conventional TMS has grown impressively, new paradigms of stimulation have been developed (e.g., patterned repetitive TMS) and technical advances have led to new device designs and to the real-time integration of TMS with electroencephalography (EEG), positron emission tomography (PET) and functional magnetic resonance imaging (fMRI). Thousands of healthy subjects and patients with various neurological and psychiatric diseases have undergone TMS allowing a better assessment of relative risks. The occurrence of seizures (i.e., the most serious TMS-related acute adverse effect) has been extremely rare, with most of the few new cases receiving rTMS exceeding previous guidelines, often in patients under treatment with drugs which potentially lower the seizure threshold. The present updated guidelines review issues of risk and safety of conventional TMS protocols, address the undesired effects and risks of emerging TMS interventions, the applications of TMS in patients with implanted electrodes in the central nervous system, and safety aspects of TMS in neuroimaging environments. We cover recommended limits of stimulation parameters and other important precautions, monitoring of subjects, expertise of the rTMS team, and ethical issues. While all the recommendations here are expert based, they utilize published data to the extent possible.",Biomedical Research; Hot Temperature; Humans; Italy; Nervous System Diseases; Risk Factors; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/19833552/
31901449,Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Journal Article; Research Support, Non-U.S. Gov't; Review","A group of European experts reappraised the guidelines on the therapeutic efficacy of repetitive transcranial magnetic stimulation (rTMS) previously published in 2014 [Lefaucheur et al., Clin Neurophysiol 2014;125:2150-206]. These updated recommendations take into account all rTMS publications, including data prior to 2014, as well as currently reviewed literature until the end of 2018. Level A evidence (definite efficacy) was reached for: high-frequency (HF) rTMS of the primary motor cortex (M1) contralateral to the painful side for neuropathic pain; HF-rTMS of the left dorsolateral prefrontal cortex (DLPFC) using a figure-of-8 or a H1-coil for depression; low-frequency (LF) rTMS of contralesional M1 for hand motor recovery in the post-acute stage of stroke. Level B evidence (probable efficacy) was reached for: HF-rTMS of the left M1 or DLPFC for improving quality of life or pain, respectively, in fibromyalgia; HF-rTMS of bilateral M1 regions or the left DLPFC for improving motor impairment or depression, respectively, in Parkinson's disease; HF-rTMS of ipsilesional M1 for promoting motor recovery at the post-acute stage of stroke; intermittent theta burst stimulation targeted to the leg motor cortex for lower limb spasticity in multiple sclerosis; HF-rTMS of the right DLPFC in posttraumatic stress disorder; LF-rTMS of the right inferior frontal gyrus in chronic post-stroke non-fluent aphasia; LF-rTMS of the right DLPFC in depression; and bihemispheric stimulation of the DLPFC combining right-sided LF-rTMS (or continuous theta burst stimulation) and left-sided HF-rTMS (or intermittent theta burst stimulation) in depression. Level A/B evidence is not reached concerning efficacy of rTMS in any other condition. The current recommendations are based on the differences reached in therapeutic efficacy of real vs. sham rTMS protocols, replicated in a sufficient number of independent studies. This does not mean that the benefit produced by rTMS inevitably reaches a level of clinical relevance.",Evidence-Based Medicine; Humans; Mental Disorders; Nervous System Diseases; Practice Guidelines as Topic; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/31901449/
25034472,Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS).,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,"Journal Article; Research Support, Non-U.S. Gov't; Review","A group of European experts was commissioned to establish guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS) from evidence published up until March 2014, regarding pain, movement disorders, stroke, amyotrophic lateral sclerosis, multiple sclerosis, epilepsy, consciousness disorders, tinnitus, depression, anxiety disorders, obsessive-compulsive disorder, schizophrenia, craving/addiction, and conversion. Despite unavoidable inhomogeneities, there is a sufficient body of evidence to accept with level A (definite efficacy) the analgesic effect of high-frequency (HF) rTMS of the primary motor cortex (M1) contralateral to the pain and the antidepressant effect of HF-rTMS of the left dorsolateral prefrontal cortex (DLPFC). A Level B recommendation (probable efficacy) is proposed for the antidepressant effect of low-frequency (LF) rTMS of the right DLPFC, HF-rTMS of the left DLPFC for the negative symptoms of schizophrenia, and LF-rTMS of contralesional M1 in chronic motor stroke. The effects of rTMS in a number of indications reach level C (possible efficacy), including LF-rTMS of the left temporoparietal cortex in tinnitus and auditory hallucinations. It remains to determine how to optimize rTMS protocols and techniques to give them relevance in routine clinical practice. In addition, professionals carrying out rTMS protocols should undergo rigorous training to ensure the quality of the technical realization, guarantee the proper care of patients, and maximize the chances of success. Under these conditions, the therapeutic use of rTMS should be able to develop in the coming years.",Cerebral Cortex; Epilepsy; Evidence-Based Medicine; Humans; Mental Disorders; Movement Disorders; Multiple Sclerosis; Stroke; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/25034472/
28541649,Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.,The Journal of clinical psychiatry,Journal Article; Consensus Statement,"OBJECTIVE: To provide expert recommendations for the safe and effective application of repetitive transcranial magnetic stimulation (rTMS) in the treatment of major depressive disorder (MDD). PARTICIPANTS: Participants included a group of 17 expert clinicians and researchers with expertise in the clinical application of rTMS, representing both the National Network of Depression Centers (NNDC) rTMS Task Group and the American Psychiatric Association Council on Research (APA CoR) Task Force on Novel Biomarkers and Treatments. EVIDENCE: The consensus statement is based on a review of extensive literature from 2 databases (OvidSP MEDLINE and PsycINFO) searched from 1990 through 2016. The search terms included variants of major depressive disorder and transcranial magnetic stimulation. The results were limited to articles written in English that focused on adult populations. Of the approximately 1,500 retrieved studies, a total of 118 publications were included in the consensus statement and were supplemented with expert opinion to achieve consensus recommendations on key issues surrounding the administration of rTMS for MDD in clinical practice settings. CONSENSUS PROCESS: In cases in which the research evidence was equivocal or unclear, a consensus decision on how rTMS should be administered was reached by the authors of this article and is denoted in the article as ""expert opinion."" CONCLUSIONS: Multiple randomized controlled trials and published literature have supported the safety and efficacy of rTMS antidepressant therapy. These consensus recommendations, developed by the NNDC rTMS Task Group and APA CoR Task Force on Novel Biomarkers and Treatments, provide comprehensive information for the safe and effective clinical application of rTMS in the treatment of MDD.",Contraindications; Major Depressive Disorder; Humans; Transcranial Magnetic Stimulation,https://pubmed.ncbi.nlm.nih.gov/28541649/
27090022,The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Brain stimulation,Journal Article; Review; Consensus Statement,"BACKGROUND: Prefrontal Transcranial Magnetic Stimulation (TMS) therapy repeated daily over 4-6 weeks (20-30 sessions) is US Food and Drug Administration (FDA) approved for treating Major Depressive Disorder in adults who have not responded to prior antidepressant medications. In 2011, leading TMS clinical providers and researchers created the Clinical TMS Society (cTMSs) (www.clinicaltmssociety.org, Greenwich, CT, USA), incorporated in 2013. METHODS: This consensus review was written by cTMSs leaders, informed by membership polls, and approved by the governing board. It summarizes current evidence for the safety and efficacy of the use of TMS therapy for treating depression in routine clinical practice. Authors systematically reviewed the published TMS antidepressant therapy clinical trials. Studies were then assessed and graded on their strength of evidence using the Levels of Evidence framework published by the University of Oxford Centre for Evidence Based Medicine. The authors then summarize essentials for using TMS therapy in routine clinical practice settings derived from discussions and polls of cTMSs members. Finally, each summary clinical recommendation is presented with the substantiating peer-reviewed, published evidence supporting that recommendation. When the current published clinical trial evidence was insufficient or incomplete, expert opinion was included when sufficient consensus was available from experienced clinician users among the membership of the cTMSs, who were polled at the Annual Meetings in 2014 and 2015. CONCLUSIONS: Daily left prefrontal TMS has substantial evidence of efficacy and safety for treating the acute phase of depression in patients who are treatment resistant or intolerant. Following the clinical recommendations in this document should result in continued safe and effective use of this exciting new treatment modality.","Adult; Antidepressive Agents; Major Depressive Disorder; Evidence-Based Medicine; Humans; Prefrontal Cortex; Societies, Medical; Transcranial Magnetic Stimulation; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/27090022/
17573044,Efficacy and safety of transcranial magnetic stimulation in the acute treatment of major depression: a multisite randomized controlled trial.,Biological psychiatry,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","BACKGROUND: We tested whether transcranial magnetic stimulation (TMS) over the left dorsolateral prefrontal cortex (DLPFC) is effective and safe in the acute treatment of major depression. METHODS: In a double-blind, multisite study, 301 medication-free patients with major depression who had not benefited from prior treatment were randomized to active (n = 155) or sham TMS (n = 146) conditions. Sessions were conducted five times per week with TMS at 10 pulses/sec, 120% of motor threshold, 3000 pulses/session, for 4-6 weeks. Primary outcome was the symptom score change as assessed at week 4 with the Montgomery-Asberg Depression Rating Scale (MADRS). Secondary outcomes included changes on the 17- and 24-item Hamilton Depression Rating Scale (HAMD) and response and remission rates with the MADRS and HAMD. RESULTS: Active TMS was significantly superior to sham TMS on the MADRS at week 4 (with a post hoc correction for inequality in symptom severity between groups at baseline), as well as on the HAMD17 and HAMD24 scales at weeks 4 and 6. Response rates were significantly higher with active TMS on all three scales at weeks 4 and 6. Remission rates were approximately twofold higher with active TMS at week 6 and significant on the MADRS and HAMD24 scales (but not the HAMD17 scale). Active TMS was well tolerated with a low dropout rate for adverse events (4.5%) that were generally mild and limited to transient scalp discomfort or pain. CONCLUSIONS: Transcranial magnetic stimulation was effective in treating major depression with minimal side effects reported. It offers clinicians a novel alternative for the treatment of this disorder.",Adolescent; Adult; Aged; Audiometry; Major Depressive Disorder; Double-Blind Method; Female; Humans; Male; Middle Aged; Psychiatric Status Rating Scales; Transcranial Magnetic Stimulation; Treatment Outcome,https://pubmed.ncbi.nlm.nih.gov/17573044/
29726344,Effectiveness of theta burst versus high-frequency repetitive transcranial magnetic stimulation in patients with depression (THREE-D): a randomised non-inferiority trial.,"Lancet (London, England)","Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Equivalence Trial","BACKGROUND: Treatment-resistant major depressive disorder is common; repetitive transcranial magnetic stimulation (rTMS) by use of high-frequency (10 Hz) left-side dorsolateral prefrontal cortex stimulation is an evidence-based treatment for this disorder. Intermittent theta burst stimulation (iTBS) is a newer form of rTMS that can be delivered in 3 min, versus 37·5 min for a standard 10 Hz treatment session. We aimed to establish the clinical effectiveness, safety, and tolerability of iTBS compared with standard 10 Hz rTMS in adults with treatment-resistant depression. METHODS: In this randomised, multicentre, non-inferiority clinical trial, we recruited patients who were referred to specialty neurostimulation centres based at three Canadian university hospitals (Centre for Addiction and Mental Health and Toronto Western Hospital, Toronto, ON, and University of British Columbia Hospital, Vancouver, BC). Participants were aged 18-65 years, were diagnosed with a current treatment-resistant major depressive episode or could not tolerate at least two antidepressants in the current episode, were receiving stable antidepressant medication doses for at least 4 weeks before baseline, and had an HRSD-17 score of at least 18. Participants were randomly allocated (1:1) to treatment groups (10 Hz rTMS or iTBS) by use of a random permuted block method, with stratification by site and number of adequate trials in which the antidepressants were unsuccessful. Treatment was delivered open-label but investigators and outcome assessors were masked to treatment groups. Participants were treated with 10 Hz rTMS or iTBS to the left dorsolateral prefrontal cortex, administered on 5 days a week for 4-6 weeks. The primary outcome measure was change in 17-item Hamilton Rating Scale for Depression (HRSD-17) score, with a non-inferiority margin of 2·25 points. For the primary outcome measure, we did a per-protocol analysis of all participants who were randomly allocated to groups and who attained the primary completion point of 4 weeks. This trial is registered with ClinicalTrials.gov, number NCT01887782. FINDINGS: Between Sept 3, 2013, and Oct 3, 2016, we randomly allocated 205 participants to receive 10 Hz rTMS and 209 participants to receive iTBS. 192 (94%) participants in the 10 Hz rTMS group and 193 (92%) in the iTBS group were assessed for the primary outcome after 4-6 weeks of treatment. HRSD-17 scores improved from 23·5 (SD 4·4) to 13·4 (7·8) in the 10 Hz rTMS group and from 23·6 (4·3) to 13·4 (7·9) in the iTBS group (adjusted difference 0·103 [corrected], lower 95% CI -1·16; p=0·0011), which indicated non-inferiority of iTBS. Self-rated intensity of pain associated with treatment was greater in the iTBS group than in the 10 Hz rTMS group (mean score on verbal analogue scale 3·8 [SD 2·0] vs 3·4 [2·0] out of 10; p=0·011). Dropout rates did not differ between groups (10 Hz rTMS: 13 [6%] of 205 participants; iTBS: 16 [8%] of 209 participants); p=0·6004). The most common treatment-related adverse event was headache in both groups (10 Hz rTMS: 131 [64%] of 204; iTBS: 136 [65%] of 208). INTERPRETATION: In patients with treatment-resistant depression, iTBS was non-inferior to 10 Hz rTMS for the treatment of depression. Both treatments had low numbers of dropouts and similar side-effects, safety, and tolerability profiles. By use of iTBS, the number of patients treated per day with current rTMS devices can be increased several times without compromising clinical effectiveness. FUNDING: Canadian Institutes of Health Research.","Adult; Antidepressive Agents; Canada; Depression; Major Depressive Disorder; Depressive Disorder, Treatment-Resistant; Female; Humans; Male; Middle Aged; Outcome Assessment, Health Care; Pain Perception; Prefrontal Cortex; Theta Rhythm; Transcranial Magnetic Stimulation; Treatment Outcome",https://pubmed.ncbi.nlm.nih.gov/29726344/
15664172,Theta burst stimulation of the human motor cortex.,Neuron,"Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't","It has been 30 years since the discovery that repeated electrical stimulation of neural pathways can lead to long-term potentiation in hippocampal slices. With its relevance to processes such as learning and memory, the technique has produced a vast literature on mechanisms of synaptic plasticity in animal models. To date, the most promising method for transferring these methods to humans is repetitive transcranial magnetic stimulation (rTMS), a noninvasive method of stimulating neural pathways in the brain of conscious subjects through the intact scalp. However, effects on synaptic plasticity reported are often weak, highly variable between individuals, and rarely last longer than 30 min. Here we describe a very rapid method of conditioning the human motor cortex using rTMS that produces a controllable, consistent, long-lasting, and powerful effect on motor cortex physiology and behavior after an application period of only 20-190 s.","Adult; Conditioning, Psychological; Electric Stimulation Therapy; Hand; Humans; Magnetics; Middle Aged; Motor Cortex; Muscle, Skeletal; Neural Inhibition; Neuronal Plasticity; Pyramidal Tracts; Reaction Time; Synaptic Transmission; Theta Rhythm; Time Factors",https://pubmed.ncbi.nlm.nih.gov/15664172/
18566003,The physiological basis of the effects of intermittent theta burst stimulation of the human motor cortex.,The Journal of physiology,Journal Article,"Theta burst stimulation (TBS) is a form of repetitive transcranial magnetic stimulation (TMS). When applied to motor cortex it leads to after-effects on corticospinal and corticocortical excitability that may reflect LTP/LTD-like synaptic effects. An inhibitory form of TBS (continuous, cTBS) suppresses MEPs, and spinal epidural recordings show this is due to suppression of the I1 volley evoked by TMS. Here we investigate whether the excitatory form of TBS (intermittent, iTBS) affects the same I-wave circuitry. We recorded corticospinal volleys evoked by single pulse TMS of the motor cortex before and after iTBS in three conscious patients who had an electrode implanted in the cervical epidural space for the control of pain. As in healthy subjects, iTBS increased MEPs, and this was accompanied by a significant increase in the amplitude of later I-waves, but not the I1 wave. In two of the patients we tested the excitability of the contralateral cortex and found a significant suppression of the late I-waves. The extent of the changes varied between the three patients, as did their age. To investigate whether age might be a significant contributor to the variability we examined the effect of iTBS on MEPs in 18 healthy subjects. iTBS facilitated MEPs evoked by TMS of the conditioned hemisphere and suppressed MEPs evoked by stimulation of the contralateral hemisphere. There was a slight but non-significant decline in MEP facilitation with age, suggesting that interindividual variability was more important than age in explaining our data. In a subgroup of 10 subjects we found that iTBS had no effect on the duration of the ipsilateral silent period suggesting that the reduction in contralateral MEPs was not due to an increase in ongoing transcallosal inhibition. In conclusion, iTBS affects the excitability of excitatory synaptic inputs to pyramidal tract neurones that are recruited by a TMS pulse, both in the stimulated hemisphere and in the contralateral hemisphere. However the circuits affected differ from those influenced by the inhibitory, cTBS, protocol. The implication is that cTBS and iTBS may have different therapeutic targets.","Aged; Aged, 80 and over; Biological Clocks; Evoked Potentials, Motor; Female; Humans; Long-Term Potentiation; Male; Middle Aged; Motor Cortex; Neuronal Plasticity; Pyramidal Tracts; Transcranial Magnetic Stimulation",https://pubmed.ncbi.nlm.nih.gov/18566003/
