priority_bucket,pmid,title,year,journal,doi,pubtypes,query_lanes,pubmed_url
safety_guideline,33243615,"Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",2021,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2020.10.003,"Journal Article; Practice Guideline; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't; Review",dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/33243615/
safety_guideline,19833552,"Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",2009,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2009.08.016,"Consensus Statement; Journal Article; Research Support, Non-U.S. Gov't; Review",dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/19833552/
therapeutic_guideline,31901449,Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).,2020,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2019.11.002,"Journal Article; Research Support, Non-U.S. Gov't; Review",dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/31901449/
therapeutic_guideline,25034472,Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS).,2014,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2014.05.021,"Journal Article; Research Support, Non-U.S. Gov't; Review",dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/25034472/
clinical_depression_consensus,28541649,Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.,2018,The Journal of clinical psychiatry,10.4088/JCP.16cs10905,Journal Article; Consensus Statement,clinical_depression_protocols; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/28541649/
clinical_depression_consensus,27090022,The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,2016,Brain stimulation,10.1016/j.brs.2016.03.010,Journal Article; Review; Consensus Statement,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/27090022/
clinical_depression_trial,17573044,Efficacy and safety of transcranial magnetic stimulation in the acute treatment of major depression: a multisite randomized controlled trial.,2007,Biological psychiatry,10.1016/j.biopsych.2007.01.018,"Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",clinical_depression_protocols; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/17573044/
clinical_depression_trial,29726344,Effectiveness of theta burst versus high-frequency repetitive transcranial magnetic stimulation in patients with depression (THREE-D): a randomised non-inferiority trial.,2018,"Lancet (London, England)",10.1016/S0140-6736(18)30295-2,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't; Equivalence Trial",clinical_depression_protocols; dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/29726344/
mechanism_theta_burst,15664172,Theta burst stimulation of the human motor cortex.,2005,Neuron,10.1016/j.neuron.2004.12.033,"Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't",dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/15664172/
mechanism_theta_burst,18566003,The physiological basis of the effects of intermittent theta burst stimulation of the human motor cortex.,2008,The Journal of physiology,10.1113/jphysiol.2008.152736,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/18566003/
