pmid,title,year,pubdate,epubdate,journal,source_abbrev,volume,issue,pages,doi,pmc,authors,author_count,last_author,pubtypes,is_review,is_guideline,is_meta_analysis,is_clinical_trial,is_randomized_trial,query_lanes,pubmed_url
42207391,A Systematic Review of Functional Brain Imaging Studies in Neurofibromatosis 1.,2026,2026 May 28,2026 May 28,Neuropsychology review,Neuropsychol Rev,,,,10.1007/s11065-026-09695-9,,Wild A; Tziraki M; Lea-Carnall C; Garg S,4,Garg S,Journal Article; Review,True,False,False,False,False,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42207391/
42207275,Psilocybin-induced neurocardiogenic syncope: a case report.,2026,2026 May 28,2026 May 28,Psychopharmacology,Psychopharmacology (Berl),,,,10.1007/s00213-026-07079-8,,Atiq MA; Weisman E; Guerra RB; Martinez LL; Yaden DB; Barrett FS; Nayak S; Sayali C,8,Sayali C,Journal Article,False,False,False,False,False,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42207275/
42207058,Effect of non-invasive brain stimulation (NIBS) techniques on neuropathic pain in patients with peripheral neuropathies. A systematic review with meta-analysis.,2026,2026 May 7,2026 May 7,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation,,,,10.1016/j.neurom.2026.04.017,,Menéndez-Cámara J; Arribas-Romano A; González-Zamorano Y; Valverde-Aranda M; Gurdiel-Álvarez F; de la Rosa-Díaz I; Matesanz-García L; Fernández-Carnero J,8,Fernández-Carnero J,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42207058/
42206308,Effect of rTMS on cerebral functional hierarchical structure in schizophrenia.,2026,2026,2026 May 12,Psychoradiology,Psychoradiology,6,,kkag019,10.1093/psyrad/kkag019,PMC13211985,Wu H; Li H; Xiong K; Jiang S; Huang H; Hou C; Zhou J; Rodriguez-Labrada R; Yao D; Luo C,10,Luo C,Journal Article,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42206308/
42205779,State-dependent modulation of brain co-activation patterns induced by individually targeted VLPFC stimulation during viewing emotional film clips.,2026,2026,2026 May 12,Frontiers in human neuroscience,Front Hum Neurosci,20,,1824753,10.3389/fnhum.2026.1824753,PMC13201408,Hou C; Yan M; Pei H; Ye T; Jiang S; Li H; Rodríguez-Labrada R; Yao D; Luo C,9,Luo C,Journal Article,False,False,False,False,False,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42205779/
42204340,"A generic, rapid and robust platform for personalized functional circuit-guided neuromodulation targeting.",2026,2026 May 27,2026 May 27,Nature protocols,Nat Protoc,,,,10.1038/s41596-026-01371-9,,Zhang W; Li S; An N; Huang J; Wang F; Wang D; Lin Y; Liu H; Ren J,9,Ren J,Journal Article; Review,True,False,False,False,False,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42204340/
42204011,Efficacy and safety of pharmacological and non-invasive brain stimulation for adolescent bipolar depression: a systematic review and network meta-analysis.,2026,2026 May 28,2026 May 28,International journal of bipolar disorders,Int J Bipolar Disord,,,,10.1186/s40345-026-00421-1,,Wang L; Xue H; Fu T; Gong X; Zhu R; Duan J; Pan C; Zhou J; Lin Z; Du W; Wang F,11,Wang F,Journal Article; Review,True,False,False,False,False,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42204011/
42203272,"Follow-up monitoring, rehabilitation status and hand function recovery in patients who had a stroke at 1 year after discharge (FOLLOW-STROKE-HAND): protocol for a longitudinal observational study.",2026,2026 May 27,2026 May 27,BMJ open,BMJ Open,16,5,e116644,10.1136/bmjopen-2026-116644,,Xu F; Wu S; Mao L; Pan S; Zhou K; Liu Y; Cao X; Wang X,8,Wang X,Journal Article; Observational Study,False,False,False,False,False,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state,https://pubmed.ncbi.nlm.nih.gov/42203272/
42203154,"Efficacy and Durability of Therapies for Neurogenic Lower Urinary Tract Dysfunction: A Network Meta-analysis of Botulinum Toxin A, Instillations, and Neuromodulation.",2026,2026 May 26,2026 May 26,Toxicon : official journal of the International Society on Toxinology,Toxicon,,,109165,10.1016/j.toxicon.2026.109165,,Lei B; Lan C; Wang Y; Ma S; Wang H; Zhang D; Han Q; Zhuang W,8,Zhuang W,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42203154/
42202535,Neuromodulation techniques for managing overactive bladder.,2026,2026 May 23,2026 May 23,Autonomic neuroscience : basic & clinical,Auton Neurosci,266,,103439,10.1016/j.autneu.2026.103439,,Rosato E; Di Rocco F; Cerrelli G; Mollo L; Bianchi D; Finazzi Agrò E,6,Finazzi Agrò E,Journal Article; Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42202535/
