pmid,title,year,pubdate,epubdate,journal,source_abbrev,volume,issue,pages,doi,pmc,authors,author_count,last_author,pubtypes,is_review,is_guideline,is_meta_analysis,is_clinical_trial,is_randomized_trial,query_lanes,pubmed_url
42207391,A Systematic Review of Functional Brain Imaging Studies in Neurofibromatosis 1.,2026,2026 May 28,2026 May 28,Neuropsychology review,Neuropsychol Rev,,,,10.1007/s11065-026-09695-9,,Wild A; Tziraki M; Lea-Carnall C; Garg S,4,Garg S,Journal Article; Review,True,False,False,False,False,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,https://pubmed.ncbi.nlm.nih.gov/42207391/
42207058,Effect of non-invasive brain stimulation (NIBS) techniques on neuropathic pain in patients with peripheral neuropathies. A systematic review with meta-analysis.,2026,2026 May 7,2026 May 7,Neuromodulation : journal of the International Neuromodulation Society,Neuromodulation,,,,10.1016/j.neurom.2026.04.017,,Menéndez-Cámara J; Arribas-Romano A; González-Zamorano Y; Valverde-Aranda M; Gurdiel-Álvarez F; de la Rosa-Díaz I; Matesanz-García L; Fernández-Carnero J,8,Fernández-Carnero J,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42207058/
42204340,"A generic, rapid and robust platform for personalized functional circuit-guided neuromodulation targeting.",2026,2026 May 27,2026 May 27,Nature protocols,Nat Protoc,,,,10.1038/s41596-026-01371-9,,Zhang W; Li S; An N; Huang J; Wang F; Wang D; Lin Y; Liu H; Ren J,9,Ren J,Journal Article; Review,True,False,False,False,False,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42204340/
42204011,Efficacy and safety of pharmacological and non-invasive brain stimulation for adolescent bipolar depression: a systematic review and network meta-analysis.,2026,2026 May 28,2026 May 28,International journal of bipolar disorders,Int J Bipolar Disord,,,,10.1186/s40345-026-00421-1,,Wang L; Xue H; Fu T; Gong X; Zhu R; Duan J; Pan C; Zhou J; Lin Z; Du W; Wang F,11,Wang F,Journal Article; Review,True,False,False,False,False,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42204011/
42203154,"Efficacy and Durability of Therapies for Neurogenic Lower Urinary Tract Dysfunction: A Network Meta-analysis of Botulinum Toxin A, Instillations, and Neuromodulation.",2026,2026 May 26,2026 May 26,Toxicon : official journal of the International Society on Toxinology,Toxicon,,,109165,10.1016/j.toxicon.2026.109165,,Lei B; Lan C; Wang Y; Ma S; Wang H; Zhang D; Han Q; Zhuang W,8,Zhuang W,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42203154/
42202535,Neuromodulation techniques for managing overactive bladder.,2026,2026 May 23,2026 May 23,Autonomic neuroscience : basic & clinical,Auton Neurosci,266,,103439,10.1016/j.autneu.2026.103439,,Rosato E; Di Rocco F; Cerrelli G; Mollo L; Bianchi D; Finazzi Agrò E,6,Finazzi Agrò E,Journal Article; Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42202535/
42193476,Navigated Transcranial Magnetic Stimulation (nTMS): From Functional Brain Mapping to Clinical Applications in Neurosurgery and Neurology.,2026,2026 May 19,2026 May 19,Biomedicines,Biomedicines,14,5,,10.3390/biomedicines14051152,PMC13204847,Setlak MK; Błaszczyk B; Wojtacha M; Rudnik A,4,Rudnik A,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42193476/
42192839,Noninvasive Brain Stimulation Techniques and Their Efficacy in Treating Cognition and Memory in Mild Cognitive Impairment and Alzheimer's Disease-A Systematic Review.,2026,2026 May 15,2026 May 15,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050527,PMC13204702,Valverde HP; Clark BJ; Hogeveen J; Clark VP,4,Clark VP,Journal Article; Review,True,False,False,False,False,guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192839/
42192794,Efficacy of Non-Invasive Brain Stimulation in Improving Working Memory in Children and Adolescents with Attention-Deficit/Hyperactivity Disorder: A Systematic Review.,2026,2026 Apr 29,2026 Apr 29,Brain sciences,Brain Sci,16,5,,10.3390/brainsci16050480,PMC13204134,Zambrano Vélez WA; Alcívar Ponce JL; Bailón Bailón WG; Castillo Del Valle HM; Baquerizo Quirumbay RA,5,Baquerizo Quirumbay RA,Journal Article; Review,True,False,False,False,False,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,https://pubmed.ncbi.nlm.nih.gov/42192794/
42192357,Digital and repetitive transcranial magnetic stimulation interventions for perinatal depression and anxiety: a systematic review.,2026,2026 May 26,2026 May 26,BMC psychiatry,BMC Psychiatry,,,,10.1186/s12888-026-07948-8,,Khalesi ZB; Abedinzade M; Dalili A,3,Dalili A,Journal Article; Systematic Review,True,False,False,False,False,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,https://pubmed.ncbi.nlm.nih.gov/42192357/
