pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
42207391,A Systematic Review of Functional Brain Imaging Studies in Neurofibromatosis 1.,2026,Neuropsychology review,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42207391/
42207275,Psilocybin-induced neurocardiogenic syncope: a case report.,2026,Psychopharmacology,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42207275/
42207058,Effect of non-invasive brain stimulation (NIBS) techniques on neuropathic pain in patients with peripheral neuropathies. A systematic review with meta-analysis.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42207058/
42206308,Effect of rTMS on cerebral functional hierarchical structure in schizophrenia.,2026,Psychoradiology,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42206308/
42205779,State-dependent modulation of brain co-activation patterns induced by individually targeted VLPFC stimulation during viewing emotional film clips.,2026,Frontiers in human neuroscience,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42205779/
42204340,"A generic, rapid and robust platform for personalized functional circuit-guided neuromodulation targeting.",2026,Nature protocols,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42204340/
42204011,Efficacy and safety of pharmacological and non-invasive brain stimulation for adolescent bipolar depression: a systematic review and network meta-analysis.,2026,International journal of bipolar disorders,Journal Article; Review,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42204011/
42203272,"Follow-up monitoring, rehabilitation status and hand function recovery in patients who had a stroke at 1 year after discharge (FOLLOW-STROKE-HAND): protocol for a longitudinal observational study.",2026,BMJ open,Journal Article; Observational Study,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state,mechanisms; patient_faq_adherence; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42203272/
42203154,"Efficacy and Durability of Therapies for Neurogenic Lower Urinary Tract Dysfunction: A Network Meta-analysis of Botulinum Toxin A, Instillations, and Neuromodulation.",2026,Toxicon : official journal of the International Society on Toxinology,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,mechanisms; safety_side_effects; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42203154/
42202535,Neuromodulation techniques for managing overactive bladder.,2026,Autonomic neuroscience : basic & clinical,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,safety_side_effects; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42202535/
42202470,Cortical connectivity abnormalities assessed by TMS-EEG in patients after a transient ischemic attack.,2026,Neurophysiologie clinique = Clinical neurophysiology,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42202470/
42202197,EEG Ensemble Learning Framework for Prognostic Prediction of Post-rTMS Motor Recovery in Stroke.,2026,IEEE transactions on bio-medical engineering,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42202197/
42202183,State-dependent neuromodulation reveals link between online and offline corticospinal excitability.,2026,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42202183/
42201670,Relevance of Accelerated Intermittent Theta-Burst Stimulation and Multisite High-Frequency Repetitive Transcranial Magnetic Stimulation in Parkinson Disease: A Case Study.,2026,The journal of ECT,Journal Article,dosing_protocol_variants; master_tms_not_animal_only,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/42201670/
42198984,Improving access to novel treatments for treatment-resistant depression: The potential role of specialist clinics in Australia.,2026,The Australian and New Zealand journal of psychiatry,Journal Article,master_tms_not_animal_only; psychiatric_indications; technician_equipment_localization,technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42198984/
42197807,Enhancing Expressway Traffic State Perception: A Novel BAS-Optimized PSO-BP Fusion Model with Tensor Completion.,2026,"Sensors (Basel, Switzerland)",Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42197807/
