pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
42207275,Psilocybin-induced neurocardiogenic syncope: a case report.,2026,Psychopharmacology,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42207275/
42205779,State-dependent modulation of brain co-activation patterns induced by individually targeted VLPFC stimulation during viewing emotional film clips.,2026,Frontiers in human neuroscience,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42205779/
42198984,Improving access to novel treatments for treatment-resistant depression: The potential role of specialist clinics in Australia.,2026,The Australian and New Zealand journal of psychiatry,Journal Article,master_tms_not_animal_only; psychiatric_indications; technician_equipment_localization,technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42198984/
42197807,Enhancing Expressway Traffic State Perception: A Novel BAS-Optimized PSO-BP Fusion Model with Tensor Completion.,2026,"Sensors (Basel, Switzerland)",Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42197807/
42192827,Submaximal Unilateral Arm Cycling Produces Transient but Not Sustained Changes in Corticospinal Excitability in the Homologous Muscles of the Non-Exercised Limb.,2026,Brain sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42192827/
42192818,Neurophysiological Predictors of Proximal Motor Rehabilitation in Stroke Patients with Corticospinal Tract Damage.,2026,Brain sciences,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42192818/
42186052,Effectiveness of transcutaneous spinal direct current stimulation combined with exercise training in patients with anterior cruciate ligament reconstruction: study protocol for a randomized controlled trial.,2026,Trials,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42186052/
42185769,Effect of cerebellar vermis intermittent theta-burst stimulation on balance function in frail older adults: a randomized controlled trial.,2026,BMC geriatrics,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/42185769/
42183812,Changing Sensory Eye Dominance With Theta Burst Stimulation Over Visual Cortex.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42183812/
42180178,Network-based near-scalp personalized brain stimulation targets.,2026,"Imaging neuroscience (Cambridge, Mass.)",Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42180178/
42180005,Virtual reality-based inhibition training influences food-related responses: no additional effects of repetitive transcranial magnetic stimulation.,2026,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42180005/
42178348,Repetitive transcranial magnetic stimulation is associated with improved functional recovery and time-dependent changes in apoptosis-related execution-phase markers after spinal cord injury.,2026,Scientific reports,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42178348/
42178189,The Relationship Between the Cortico-Diaphragmatic Conduction Pathway and Cardiopulmonary Function in Healthy Individuals.,2026,The clinical respiratory journal,Journal Article,master_tms_not_animal_only; medication_sleep_caffeine_state; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/42178189/
